date,close,high,low,open,volume,symbol,market_cap
2023-03-19,0.34601,0.352699,0.337717,0.337717,2.6900586e+08,ADA,3.5e+10
2023-03-20,0.332595,0.34674,0.332135,0.34596,3.2212083e+08,ADA,3.5e+10
2023-03-21,0.371236,0.384273,0.331808,0.332619,6.859511e+08,ADA,3.5e+10
2023-03-22,0.360613,0.386959,0.351481,0.371193,7.927471e+08,ADA,3.5e+10
2023-03-23,0.372045,0.384364,0.355052,0.360576,4.3502694e+08,ADA,3.5e+10
2023-03-24,0.360083,0.37272,0.357029,0.37206,3.0557814e+08,ADA,3.5e+10
2023-03-25,0.351996,0.362876,0.349952,0.360099,2.1146088e+08,ADA,3.5e+10
2023-03-26,0.356245,0.361411,0.349796,0.352001,2.1991883e+08,ADA,3.5e+10
2023-03-27,0.34551,0.356989,0.338738,0.356253,3.021988e+08,ADA,3.5e+10
2023-03-28,0.368354,0.369459,0.343809,0.345565,3.1957267e+08,ADA,3.5e+10
2023-03-29,0.381589,0.389506,0.367431,0.368303,4.7218595e+08,ADA,3.5e+10
2023-03-30,0.376459,0.386929,0.370898,0.38161,3.9106304e+08,ADA,3.5e+10
2023-03-31,0.398923,0.407938,0.375081,0.376496,6.376485e+08,ADA,3.5e+10
2023-04-01,0.385388,0.401232,0.382753,0.39888,3.5530838e+08,ADA,3.5e+10
2023-04-02,0.381753,0.393196,0.377317,0.393196,3.0003258e+08,ADA,3.5e+10
2023-04-03,0.387139,0.403465,0.372875,0.381735,6.173341e+08,ADA,3.5e+10
2023-04-04,0.389683,0.399445,0.385707,0.387152,3.863673e+08,ADA,3.5e+10
2023-04-05,0.392364,0.399594,0.387924,0.389689,3.0325917e+08,ADA,3.5e+10
2023-04-06,0.38321,0.392468,0.377724,0.392377,2.719459e+08,ADA,3.5e+10
2023-04-07,0.383643,0.384938,0.377206,0.383202,1.9160166e+08,ADA,3.5e+10
2023-04-08,0.385635,0.390248,0.381087,0.383626,2.0283213e+08,ADA,3.5e+10
2023-04-09,0.389693,0.392753,0.385279,0.385665,1.9871832e+08,ADA,3.5e+10
2023-04-10,0.396989,0.397423,0.38549,0.389701,2.597654e+08,ADA,3.5e+10
2023-04-11,0.401456,0.411631,0.396264,0.397045,4.453345e+08,ADA,3.5e+10
2023-04-12,0.406563,0.409309,0.39027,0.401486,3.7240944e+08,ADA,3.5e+10
2023-04-13,0.425759,0.428181,0.401874,0.404869,5.1728093e+08,ADA,3.5e+10
2023-04-14,0.43833,0.44408,0.425178,0.425744,7.2223706e+08,ADA,3.5e+10
2023-04-15,0.45328,0.460562,0.432808,0.438338,5.881883e+08,ADA,3.5e+10
2023-04-16,0.451755,0.457266,0.444282,0.453266,3.7839834e+08,ADA,3.5e+10
2023-04-17,0.434167,0.451758,0.433168,0.451758,4.676531e+08,ADA,3.5e+10
2023-04-18,0.443752,0.447752,0.429621,0.434195,3.447148e+08,ADA,3.5e+10
2023-04-19,0.415793,0.443726,0.412039,0.443726,5.720076e+08,ADA,3.5e+10
2023-04-20,0.400731,0.421671,0.397399,0.415797,4.463056e+08,ADA,3.5e+10
2023-04-21,0.382939,0.406409,0.380415,0.400725,4.234569e+08,ADA,3.5e+10
2023-04-22,0.396153,0.398526,0.381718,0.382952,2.633091e+08,ADA,3.5e+10
2023-04-23,0.389,0.396119,0.381974,0.396119,2.3867523e+08,ADA,3.5e+10
2023-04-24,0.383916,0.396608,0.381285,0.388998,2.8270762e+08,ADA,3.5e+10
2023-04-25,0.394919,0.394973,0.377791,0.383914,2.868973e+08,ADA,3.5e+10
2023-04-26,0.401498,0.416578,0.382464,0.39489,4.8888154e+08,ADA,3.5e+10
2023-04-27,0.409843,0.417869,0.401474,0.401504,3.980377e+08,ADA,3.5e+10
2023-04-28,0.404932,0.410637,0.39916,0.409856,2.3169466e+08,ADA,3.5e+10
2023-04-29,0.402784,0.407489,0.401935,0.404918,1.562589e+08,ADA,3.5e+10
2023-04-30,0.397354,0.414583,0.396346,0.402779,2.2700246e+08,ADA,3.5e+10
2023-05-01,0.386857,0.397747,0.381626,0.397281,2.730727e+08,ADA,3.5e+10
2023-05-02,0.391773,0.394547,0.383016,0.386851,1.9753587e+08,ADA,3.5e+10
2023-05-03,0.393942,0.396119,0.379384,0.391768,2.6238795e+08,ADA,3.5e+10
2023-05-04,0.387448,0.396041,0.38589,0.393962,1.7339973e+08,ADA,3.5e+10
2023-05-05,0.394684,0.396633,0.385669,0.387454,2.131912e+08,ADA,3.5e+10
2023-05-06,0.380119,0.39672,0.37658,0.394689,2.265113e+08,ADA,3.5e+10
2023-05-07,0.376906,0.383486,0.376612,0.380088,1.5658272e+08,ADA,3.5e+10
2023-05-08,0.365828,0.379675,0.358563,0.376895,3.268512e+08,ADA,3.5e+10
2023-05-09,0.363806,0.369506,0.3609,0.365794,1.9675294e+08,ADA,3.5e+10
2023-05-10,0.369937,0.372685,0.355851,0.363788,3.3957078e+08,ADA,3.5e+10
2023-05-11,0.360039,0.369957,0.351208,0.369957,2.4303264e+08,ADA,3.5e+10
2023-05-12,0.370463,0.370548,0.355802,0.360001,2.6217043e+08,ADA,3.5e+10
2023-05-13,0.365031,0.370642,0.363383,0.370474,1.3150474e+08,ADA,3.5e+10
2023-05-14,0.370761,0.372794,0.363935,0.365027,1.229141e+08,ADA,3.5e+10
2023-05-15,0.367482,0.375465,0.36748,0.370787,1.7662717e+08,ADA,3.5e+10
2023-05-16,0.36783,0.370085,0.36296,0.367453,1.6882515e+08,ADA,3.5e+10
2023-05-17,0.375425,0.379529,0.365163,0.367841,2.2272619e+08,ADA,3.5e+10
2023-05-18,0.372078,0.379809,0.367152,0.375441,2.0325035e+08,ADA,3.5e+10
2023-05-19,0.368215,0.372653,0.366941,0.372036,1.3353351e+08,ADA,3.5e+10
2023-05-20,0.366357,0.368382,0.364512,0.368242,1.1874806e+08,ADA,3.5e+10
2023-05-21,0.360363,0.367398,0.358336,0.366352,1.1659538e+08,ADA,3.5e+10
2023-05-22,0.367997,0.373213,0.357263,0.360382,1.7795642e+08,ADA,3.5e+10
2023-05-23,0.370484,0.375178,0.366596,0.368004,1.4191238e+08,ADA,3.5e+10
2023-05-24,0.364234,0.370566,0.360984,0.3705,1.7532936e+08,ADA,3.5e+10
2023-05-25,0.358416,0.364622,0.355721,0.364219,1.5706934e+08,ADA,3.5e+10
2023-05-26,0.362884,0.366332,0.354484,0.358408,1.7356219e+08,ADA,3.5e+10
2023-05-27,0.366774,0.36723,0.362082,0.362873,1.0673232e+08,ADA,3.5e+10
2023-05-28,0.382999,0.383745,0.366489,0.36678,2.2336371e+08,ADA,3.5e+10
2023-05-29,0.379138,0.385947,0.376368,0.383026,1.9002547e+08,ADA,3.5e+10
2023-05-30,0.377934,0.383068,0.375512,0.379129,1.8664517e+08,ADA,3.5e+10
2023-05-31,0.374403,0.380359,0.371003,0.377937,1.9330952e+08,ADA,3.5e+10
2023-06-01,0.364724,0.375474,0.361692,0.374414,2.3518786e+08,ADA,3.5e+10
2023-06-02,0.378304,0.37926,0.363156,0.364709,2.0274034e+08,ADA,3.5e+10
2023-06-03,0.376028,0.378304,0.374131,0.378253,1.1408578e+08,ADA,3.5e+10
2023-06-04,0.377693,0.381735,0.375315,0.37604,1.399108e+08,ADA,3.5e+10
2023-06-05,0.352015,0.379022,0.348264,0.377691,2.922029e+08,ADA,3.5e+10
2023-06-06,0.353715,0.356531,0.339069,0.352002,2.6233234e+08,ADA,3.5e+10
2023-06-07,0.322278,0.353698,0.319626,0.353698,3.8830675e+08,ADA,3.5e+10
2023-06-08,0.323157,0.330217,0.320948,0.322262,2.4996704e+08,ADA,3.5e+10
2023-06-09,0.295401,0.32338,0.291673,0.323162,5.080631e+08,ADA,3.5e+10
2023-06-10,0.276194,0.295378,0.23042,0.295378,1.2936438e+09,ADA,3.5e+10
2023-06-11,0.27263,0.279404,0.260312,0.276047,5.0782013e+08,ADA,3.5e+10
2023-06-12,0.275048,0.285934,0.266694,0.272583,4.3142394e+08,ADA,3.5e+10
2023-06-13,0.274986,0.287422,0.269893,0.275054,3.1942736e+08,ADA,3.5e+10
2023-06-14,0.263226,0.276916,0.258221,0.27499,2.4489504e+08,ADA,3.5e+10
2023-06-15,0.261957,0.265254,0.253406,0.263234,2.5633334e+08,ADA,3.5e+10
2023-06-16,0.263185,0.266813,0.255353,0.261969,1.7586674e+08,ADA,3.5e+10
2023-06-17,0.266928,0.272914,0.261164,0.263187,1.7171678e+08,ADA,3.5e+10
2023-06-18,0.260963,0.268664,0.260203,0.266923,1.364537e+08,ADA,3.5e+10
2023-06-19,0.263048,0.263245,0.25791,0.260968,1.4201557e+08,ADA,3.5e+10
2023-06-20,0.270329,0.270398,0.253231,0.263097,2.1417402e+08,ADA,3.5e+10
